id,country,active,name,code,category,note
port_0102,base.es,true,Cartagena ES,SPCAF,Puerto,.
port_0103,base.ma,true,Casablanca,MOCSA,Puerto,.
port_0104,base.it,true,Castellammare,ITCTM,Puerto,.
port_0105,base.it,true,Catania,ITCAI,Puerto,.
port_0106,base.br,true,Ceara,BRPDM,Puerto,.
port_0107,base.cl,true,Chacabuco,CIPCH,Puerto,.
port_0108,base.cn,true,Chan Chiang,CHCNG,Puerto,.
port_0109,base.cn,true,Changchun,CHANG,Puerto,.
port_0110,base.us,true,Charleston,USCHR,Puerto,.
port_0111,base.us,true,Charlotte,USRTR,Puerto,.
port_0112,base.fr,true,Cherbourg,FRCEG,Puerto,.
port_0113,base.us,true,Chicago,USCIG,Puerto,.
port_0114,base.cn,true,Chiu Chiang,CHCXX,Puerto,.
port_0115,base.cn,true,Chiwan,CHWAN,Puerto,.
port_0116,base.cl,true,Chonchi,CICHO,Puerto,.
port_0117,base.nz,true,Christchurch,NZPFT,Puerto,.
port_0118,base.cn,true,Chung Ching,CHCUG,Puerto,.
port_0119,base.cu,true,Cienfuegos,CUCNF,Puerto,.
port_0120,base.cl,true,Cisnes,CICIS,Puerto,.
port_0121,base.us,true,Cleveland,USCVD,Puerto,.
port_0122,base.cl,true,Colina,CICLN,Puerto,.
port_0123,base.pa,true,Colon,PNCXT,Puerto,.
port_0124,base.ar,true,Col¢n,ARCOL,Puerto,.
port_0125,base.uy,true,Colonia,UYCOA,Puerto,.
port_0126,base.cl,true,Coloso,CICOL,Puerto,.
port_0127,base.ar,true,Comodoro Rivadavia,ARCDD,Puerto,.
port_0128,base.gn,true,Conakry,GVCOY,Puerto,.
port_0129,base.cl,true,Concepcion CH,CITLC,Puerto,.
port_0130,base.py,true,Concepcion,PACNP,Puerto,.
port_0131,base.ar,true,Conception Del Uruguay,ARCDY,Puerto,.
port_0132,base.ar,true,Concordia,ARCKA,Puerto,.
port_0133,base.dk,true,Copenhagen,DACPG,Puerto,.
port_0134,base.cl,true,Coquimbo,CICQO,Puerto,.
port_0135,base.ni,true,Corinto,NUCTX,Puerto,.
port_0136,base.ar,true,Corrientes,ARCOR,Puerto,.
port_0137,base.mx,true,Cozumel,MXCZM,Puerto,.
port_0138,base.pa,true,Cristobal,PNCRS,Puerto,.
port_0139,base.nl,true,Curacao,NLWMS,Puerto,.
port_0140,base.sn,true,Dakar,SGDAK,Puerto,.
port_0141,base.cn,true,Dalian,CHDLN,Puerto,.
